<UciProtocol (pid=15142)>: Unexpected engine output: 'option name Hash type spin default 1024 min 1 max 131072'
<UciProtocol (pid=15142)>: Unexpected engine output: 'option name Clear Hash type button'
<UciProtocol (pid=15142)>: Unexpected engine output: 'option name EvalFile type string default nn-62ef826d1a6d.nnue'
Test 01/100 -- depth=15; nodes=477872; time=0.654s; nps=731 knps
Test 02/100 -- depth=15; nodes=44706; time=0.067s; nps=667 knps
Test 03/100 -- depth=15; nodes=109354; time=0.126s; nps=868 knps
Exception parsing pv from info: 'depth 14 score cp 1096 time 8 nodes 7624 nps 953000 hashfull 5 pv c2c4 c5b6 g2f3 b6c5 f3e3 c5c4 b5b6 c4b5 b6b7 b5c6 b7b8b c6d6 e3d4 d6c7', position at root: 8/8/8/1Pk5/8/8/2P3K1/8 w - - 0 1
Exception parsing pv from info: 'depth 15 score cp 1066 time 10 nodes 8687 nps 868700 hashfull 5 pv c2c4 c5b6 g2f3 b6c5 f3e3 c5c4 b5b6 c4b5 b6b7 b5c6 b7b8b c6d6 e3d4 d6c6 b8c8 c6d7', position at root: 8/8/8/1Pk5/8/8/2P3K1/8 w - - 0 1
Test 04/100 -- depth=15; nodes=8687; time=0.01s; nps=869 knps
Test 05/100 -- depth=15; nodes=1134411; time=0.899s; nps=1262 knps
Test 06/100 -- depth=15; nodes=22735; time=0.014s; nps=1624 knps
Test 07/100 -- depth=15; nodes=49073; time=0.102s; nps=481 knps
Test 08/100 -- depth=15; nodes=74176; time=0.059s; nps=1257 knps
Test 09/100 -- depth=15; nodes=39043; time=0.057s; nps=685 knps
Test 10/100 -- depth=15; nodes=313911; time=0.398s; nps=789 knps
Test 11/100 -- depth=15; nodes=1172694; time=1.209s; nps=970 knps
Test 12/100 -- depth=15; nodes=167324; time=0.169s; nps=990 knps
Test 13/100 -- depth=15; nodes=663518; time=0.731s; nps=908 knps
Test 14/100 -- depth=15; nodes=1168697; time=1.424s; nps=821 knps
Test 15/100 -- depth=15; nodes=217373; time=0.287s; nps=757 knps
Test 16/100 -- depth=15; nodes=5585; time=0.012s; nps=465 knps
Test 17/100 -- depth=15; nodes=206877; time=0.221s; nps=936 knps
Test 18/100 -- depth=15; nodes=275670; time=0.481s; nps=573 knps
Test 19/100 -- depth=15; nodes=286602; time=0.504s; nps=569 knps
Test 20/100 -- depth=15; nodes=2042468; time=3.007s; nps=679 knps
Test 21/100 -- depth=15; nodes=86510; time=0.096s; nps=901 knps
Test 22/100 -- depth=15; nodes=674997; time=1.056s; nps=639 knps
Test 23/100 -- depth=15; nodes=846332; time=1.349s; nps=627 knps
Test 24/100 -- depth=15; nodes=221307; time=0.254s; nps=871 knps
Test 25/100 -- depth=15; nodes=545208; time=0.29s; nps=1880 knps
Test 26/100 -- depth=15; nodes=113772; time=0.141s; nps=807 knps
Test 27/100 -- depth=15; nodes=452666; time=0.648s; nps=699 knps
Test 28/100 -- depth=15; nodes=578242; time=0.876s; nps=660 knps
Test 29/100 -- depth=15; nodes=453287; time=0.408s; nps=1111 knps
Test 30/100 -- depth=15; nodes=143943; time=0.385s; nps=374 knps
Test 31/100 -- depth=15; nodes=243541; time=0.328s; nps=743 knps
Test 32/100 -- depth=15; nodes=144637; time=0.191s; nps=757 knps
Test 33/100 -- depth=15; nodes=2895245; time=5.058s; nps=572 knps
Test 34/100 -- depth=15; nodes=366811; time=0.608s; nps=603 knps
Test 35/100 -- depth=15; nodes=3592; time=0.005s; nps=718 knps
Test 36/100 -- depth=15; nodes=752350; time=1.03s; nps=730 knps
Test 37/100 -- depth=15; nodes=142204; time=0.153s; nps=929 knps
Test 38/100 -- depth=15; nodes=1556504; time=2.161s; nps=720 knps
Test 39/100 -- depth=15; nodes=160949; time=0.343s; nps=469 knps
Test 40/100 -- depth=15; nodes=1154428; time=1.321s; nps=874 knps
Test 41/100 -- depth=15; nodes=17781; time=0.025s; nps=711 knps
Test 42/100 -- depth=15; nodes=1691632; time=1.945s; nps=870 knps
Test 43/100 -- depth=15; nodes=801173; time=1.333s; nps=601 knps
Test 44/100 -- depth=15; nodes=534772; time=0.922s; nps=580 knps
Test 45/100 -- depth=15; nodes=85925; time=0.231s; nps=372 knps
Test 46/100 -- depth=15; nodes=567151; time=0.561s; nps=1011 knps
Test 47/100 -- depth=15; nodes=997585; time=1.496s; nps=667 knps
Test 48/100 -- depth=15; nodes=889909; time=0.999s; nps=891 knps
Test 49/100 -- depth=15; nodes=932153; time=1.373s; nps=679 knps
Test 50/100 -- depth=15; nodes=3543592; time=3.506s; nps=1011 knps
Test 51/100 -- depth=15; nodes=890472; time=1.021s; nps=872 knps
Test 52/100 -- depth=15; nodes=1331640; time=1.075s; nps=1239 knps
Test 53/100 -- depth=15; nodes=466795; time=0.536s; nps=871 knps
Test 54/100 -- depth=15; nodes=89500; time=0.295s; nps=303 knps
Test 55/100 -- depth=15; nodes=1364854; time=1.733s; nps=788 knps
Test 56/100 -- depth=15; nodes=2184593; time=3.061s; nps=714 knps
Test 57/100 -- depth=15; nodes=1778131; time=2.792s; nps=637 knps
Test 58/100 -- depth=15; nodes=937819; time=1.394s; nps=673 knps
Test 59/100 -- depth=15; nodes=1357710; time=1.555s; nps=873 knps
Test 60/100 -- depth=15; nodes=1413666; time=1.675s; nps=844 knps
Test 61/100 -- depth=15; nodes=4192540; time=4.248s; nps=987 knps
Test 62/100 -- depth=15; nodes=3059049; time=4.046s; nps=756 knps
Test 63/100 -- depth=15; nodes=2802177; time=3.473s; nps=807 knps
Test 64/100 -- depth=15; nodes=2380560; time=2.733s; nps=871 knps
Test 65/100 -- depth=15; nodes=727907; time=1.01s; nps=721 knps
Test 66/100 -- depth=15; nodes=1359754; time=1.555s; nps=874 knps
Test 67/100 -- depth=15; nodes=556835; time=1.13s; nps=493 knps
Test 68/100 -- depth=15; nodes=1046282; time=1.528s; nps=685 knps
Test 69/100 -- depth=15; nodes=1750481; time=2.593s; nps=675 knps
Test 70/100 -- depth=15; nodes=924468; time=1.586s; nps=583 knps
Test 71/100 -- depth=15; nodes=600680; time=0.762s; nps=788 knps
Test 72/100 -- depth=15; nodes=1601643; time=2.038s; nps=786 knps
Test 73/100 -- depth=15; nodes=533189; time=1.08s; nps=494 knps
Test 74/100 -- depth=15; nodes=422810; time=0.507s; nps=834 knps
Test 75/100 -- depth=15; nodes=1006107; time=1.388s; nps=725 knps
Test 76/100 -- depth=15; nodes=757877; time=1.23s; nps=616 knps
Test 77/100 -- depth=15; nodes=739415; time=0.949s; nps=779 knps
Test 78/100 -- depth=15; nodes=650519; time=1.057s; nps=615 knps
Test 79/100 -- depth=15; nodes=1030084; time=1.127s; nps=914 knps
Test 80/100 -- depth=15; nodes=781643; time=1.371s; nps=570 knps
Test 81/100 -- depth=15; nodes=457966; time=0.338s; nps=1355 knps
Test 82/100 -- depth=15; nodes=751414; time=1.055s; nps=712 knps
Test 83/100 -- depth=15; nodes=1778575; time=1.599s; nps=1112 knps
Test 84/100 -- depth=15; nodes=1373144; time=1.935s; nps=710 knps
Test 85/100 -- depth=15; nodes=1263657; time=1.916s; nps=660 knps
Test 86/100 -- depth=15; nodes=2546183; time=3.682s; nps=692 knps
Test 87/100 -- depth=15; nodes=379308; time=0.495s; nps=766 knps
Test 88/100 -- depth=15; nodes=522837; time=0.918s; nps=570 knps
