<UciProtocol (pid=15597)>: Unexpected engine output: 'option name Hash type spin default 1024 min 1 max 131072'
<UciProtocol (pid=15597)>: Unexpected engine output: 'option name Clear Hash type button'
<UciProtocol (pid=15597)>: Unexpected engine output: 'option name EvalFile type string default nn-62ef826d1a6d.nnue'
Test 01/100 -- depth=15; nodes=563806; time=0.697s; nps=809 knps
Test 02/100 -- depth=15; nodes=34631; time=0.033s; nps=1049 knps
Test 03/100 -- depth=15; nodes=107364; time=0.103s; nps=1042 knps
Exception parsing pv from info: 'depth 13 score cp 705 time 6 nodes 8226 nps 1371000 hashfull 10 pv c2c4 c5b6 g2f3 b6c5 f3e4 c5c4 b5b6 c4b5 b6b7 b5a6 b7b8b a6a7 b8b5', position at root: 8/8/8/1Pk5/8/8/2P3K1/8 w - - 0 1
Exception parsing pv from info: 'depth 14 score cp 1107 time 8 nodes 4969 nps 621125 hashfull 10 pv c2c4 c5b6 g2f3 b6c5 f3e4 c5c4 b5b6 c4b5 b6b7 b5a5 b7b8b a5a6 b8a8 a6b7', position at root: 8/8/8/1Pk5/8/8/2P3K1/8 w - - 0 1
Exception parsing pv from info: 'depth 15 score cp 885 time 10 nodes 7700 nps 770000 hashfull 10 pv c2c4 c5b6 g2f3 b6c5 f3e4 c5c4 b5b6 c4b5 b6b7 b5c4 b7b8b c4c5 b8c8 c5d6 c8c1', position at root: 8/8/8/1Pk5/8/8/2P3K1/8 w - - 0 1
Test 04/100 -- depth=15; nodes=7700; time=0.01s; nps=770 knps
Test 05/100 -- depth=15; nodes=171093; time=0.345s; nps=496 knps
Test 06/100 -- depth=15; nodes=29342; time=0.018s; nps=1630 knps
Test 07/100 -- depth=15; nodes=92409; time=0.125s; nps=739 knps
Test 08/100 -- depth=15; nodes=14795; time=0.027s; nps=548 knps
Test 09/100 -- depth=15; nodes=100325; time=0.098s; nps=1024 knps
Test 10/100 -- depth=15; nodes=451727; time=0.491s; nps=920 knps
Test 11/100 -- depth=15; nodes=581076; time=0.685s; nps=848 knps
Test 12/100 -- depth=15; nodes=124665; time=0.144s; nps=866 knps
Test 13/100 -- depth=15; nodes=363585; time=0.69s; nps=527 knps
Test 14/100 -- depth=15; nodes=384013; time=0.901s; nps=426 knps
Test 15/100 -- depth=15; nodes=141033; time=0.211s; nps=668 knps
Test 16/100 -- depth=15; nodes=5130; time=0.009s; nps=570 knps
Test 17/100 -- depth=15; nodes=82378; time=0.067s; nps=1230 knps
Test 18/100 -- depth=15; nodes=134456; time=0.121s; nps=1111 knps
Test 19/100 -- depth=15; nodes=418167; time=0.407s; nps=1027 knps
Test 20/100 -- depth=15; nodes=2058423; time=3.47s; nps=593 knps
Test 21/100 -- depth=15; nodes=61053; time=0.042s; nps=1454 knps
Test 22/100 -- depth=15; nodes=1063311; time=1.219s; nps=872 knps
Test 23/100 -- depth=15; nodes=891321; time=1.152s; nps=774 knps
Test 24/100 -- depth=15; nodes=173233; time=0.156s; nps=1110 knps
Test 25/100 -- depth=15; nodes=88290; time=0.122s; nps=724 knps
Test 26/100 -- depth=15; nodes=196836; time=0.172s; nps=1144 knps
Test 27/100 -- depth=15; nodes=177979; time=0.413s; nps=431 knps
Test 28/100 -- depth=15; nodes=425491; time=0.696s; nps=611 knps
Test 29/100 -- depth=15; nodes=31040; time=0.077s; nps=403 knps
Test 30/100 -- depth=15; nodes=85412; time=0.177s; nps=483 knps
Test 31/100 -- depth=15; nodes=140576; time=0.164s; nps=857 knps
Test 32/100 -- depth=15; nodes=152599; time=0.137s; nps=1114 knps
Test 33/100 -- depth=15; nodes=6700242; time=6.163s; nps=1087 knps
Test 34/100 -- depth=15; nodes=311465; time=0.335s; nps=930 knps
Test 35/100 -- depth=15; nodes=1415; time=0.002s; nps=708 knps
Test 36/100 -- depth=15; nodes=571623; time=0.546s; nps=1047 knps
Test 37/100 -- depth=15; nodes=70487; time=0.081s; nps=870 knps
Test 38/100 -- depth=15; nodes=1167226; time=2.429s; nps=481 knps
Test 39/100 -- depth=15; nodes=107342; time=0.137s; nps=784 knps
Test 40/100 -- depth=15; nodes=886305; time=0.883s; nps=1004 knps
Test 41/100 -- depth=15; nodes=16937; time=0.019s; nps=891 knps
Test 42/100 -- depth=15; nodes=1229711; time=1.684s; nps=730 knps
Test 43/100 -- depth=15; nodes=1068768; time=1.325s; nps=807 knps
Test 44/100 -- depth=15; nodes=120341; time=0.222s; nps=542 knps
Test 45/100 -- depth=15; nodes=216447; time=0.356s; nps=608 knps
Test 46/100 -- depth=15; nodes=453886; time=0.474s; nps=958 knps
Test 47/100 -- depth=15; nodes=1581580; time=1.44s; nps=1098 knps
Test 48/100 -- depth=15; nodes=390975; time=0.361s; nps=1083 knps
Test 49/100 -- depth=15; nodes=418549; time=0.449s; nps=932 knps
Test 50/100 -- depth=15; nodes=1721774; time=2.841s; nps=606 knps
Test 51/100 -- depth=15; nodes=1024753; time=0.938s; nps=1092 knps
Test 52/100 -- depth=15; nodes=847289; time=0.925s; nps=916 knps
Test 53/100 -- depth=15; nodes=207462; time=0.203s; nps=1022 knps
Test 54/100 -- depth=15; nodes=58891; time=0.188s; nps=313 knps
Test 55/100 -- depth=15; nodes=714976; time=0.935s; nps=765 knps
Test 56/100 -- depth=15; nodes=1410393; time=2.216s; nps=636 knps
Test 57/100 -- depth=15; nodes=984405; time=1.644s; nps=599 knps
Test 58/100 -- depth=15; nodes=822092; time=1.056s; nps=778 knps
Test 59/100 -- depth=15; nodes=1011089; time=1.317s; nps=768 knps
Test 60/100 -- depth=15; nodes=959199; time=1.273s; nps=753 knps
Test 61/100 -- depth=15; nodes=1976247; time=4.045s; nps=489 knps
Test 62/100 -- depth=15; nodes=2707183; time=5.145s; nps=526 knps
Test 63/100 -- depth=15; nodes=1966056; time=2.795s; nps=703 knps
Test 64/100 -- depth=15; nodes=1075209; time=1.851s; nps=581 knps
Test 65/100 -- depth=15; nodes=377253; time=0.523s; nps=721 knps
Test 66/100 -- depth=15; nodes=855704; time=0.894s; nps=957 knps
Test 67/100 -- depth=15; nodes=790136; time=1.682s; nps=470 knps
Test 68/100 -- depth=15; nodes=3121870; time=3.057s; nps=1021 knps
Test 69/100 -- depth=15; nodes=1102467; time=2.54s; nps=434 knps
Test 70/100 -- depth=15; nodes=1243235; time=1.277s; nps=974 knps
Test 71/100 -- depth=15; nodes=786672; time=0.898s; nps=876 knps
Test 72/100 -- depth=15; nodes=1136518; time=1.455s; nps=781 knps
Test 73/100 -- depth=15; nodes=984704; time=0.771s; nps=1277 knps
Test 74/100 -- depth=15; nodes=456219; time=0.515s; nps=886 knps
Test 75/100 -- depth=15; nodes=1092367; time=1.409s; nps=775 knps
Test 76/100 -- depth=15; nodes=424887; time=1.473s; nps=288 knps
Test 77/100 -- depth=15; nodes=758247; time=0.924s; nps=821 knps
Test 78/100 -- depth=15; nodes=323825; time=0.366s; nps=885 knps
Test 79/100 -- depth=15; nodes=1177305; time=1.405s; nps=838 knps
Test 80/100 -- depth=15; nodes=890847; time=1.532s; nps=581 knps
Test 81/100 -- depth=15; nodes=358255; time=0.496s; nps=722 knps
Test 82/100 -- depth=15; nodes=576830; time=0.988s; nps=584 knps
Test 83/100 -- depth=15; nodes=481223; time=0.687s; nps=700 knps
Test 84/100 -- depth=15; nodes=1253378; time=2.047s; nps=612 knps
Test 85/100 -- depth=15; nodes=1996575; time=2.607s; nps=766 knps
Test 86/100 -- depth=15; nodes=2401564; time=4.184s; nps=574 knps
Test 87/100 -- depth=15; nodes=275519; time=0.45s; nps=612 knps
Test 88/100 -- depth=15; nodes=490939; time=0.929s; nps=528 knps
Test 89/100 -- depth=15; nodes=847482; time=1.894s; nps=447 knps
Test 90/100 -- depth=15; nodes=675095; time=1.015s; nps=665 knps
Test 91/100 -- depth=15; nodes=1584799; time=1.76s; nps=900 knps
Test 92/100 -- depth=15; nodes=2801291; time=2.746s; nps=1020 knps
Test 93/100 -- depth=15; nodes=114935; time=0.287s; nps=400 knps
Test 94/100 -- depth=15; nodes=492700; time=0.674s; nps=731 knps
Test 95/100 -- depth=15; nodes=132504; time=1.365s; nps=97 knps
Test 96/100 -- depth=15; nodes=201708; time=0.525s; nps=384 knps
Test 97/100 -- depth=15; nodes=330929; time=0.609s; nps=543 knps
Test 98/100 -- depth=15; nodes=591345; time=1.739s; nps=340 knps
Test 99/100 -- depth=15; nodes=327383; time=0.473s; nps=692 knps
Test 100/100 -- depth=15; nodes=43031; time=0.042s; nps=1025 knps
========================================================================
Total nodes=73653317; time=103.70s
Avg. nodes=736533; avg. time=1.04s; nps=710 knps
