<UciProtocol (pid=18890)>: Unexpected engine output: 'option name Hash type spin default 1024 min 1 max 131072'
<UciProtocol (pid=18890)>: Unexpected engine output: 'option name Clear Hash type button'
<UciProtocol (pid=18890)>: Unexpected engine output: 'option name EvalFile type string default nn-62ef826d1a6d.nnue'
Test 01/100 -- depth=15; nodes=1710943; time=2.335s; nps=733 knps
Test 02/100 -- depth=15; nodes=10260; time=0.021s; nps=489 knps
Test 03/100 -- depth=15; nodes=30535; time=0.118s; nps=259 knps
Test 04/100 -- depth=15; nodes=19428; time=0.013s; nps=1494 knps
Test 05/100 -- depth=15; nodes=1159497; time=1.243s; nps=933 knps
Test 06/100 -- depth=15; nodes=376562; time=0.155s; nps=2429 knps
Test 07/100 -- depth=15; nodes=2399800; time=2.7s; nps=889 knps
Exception parsing pv from info: 'depth 10 score cp 0 time 8 nodes 19947 nps 2493375 hashfull 47 pv d6e5 g3g4 c7c8b b4b3 c8b8 f5c2 e5d4 g4f3 b8b3 c2b3', position at root: 8/2P5/3K4/5b2/1p6/6k1/8/8 w - - 0 1
Test 08/100 -- depth=15; nodes=154898; time=0.065s; nps=2383 knps
Test 09/100 -- depth=15; nodes=36506; time=0.044s; nps=830 knps
Test 10/100 -- depth=15; nodes=722951; time=2.174s; nps=333 knps
Test 11/100 -- depth=15; nodes=497027; time=1.155s; nps=430 knps
Test 12/100 -- depth=15; nodes=85382; time=0.388s; nps=220 knps
Test 13/100 -- depth=15; nodes=1669455; time=1.948s; nps=857 knps
Test 14/100 -- depth=15; nodes=287465; time=0.512s; nps=561 knps
Test 15/100 -- depth=15; nodes=851413; time=1.144s; nps=744 knps
Test 16/100 -- depth=15; nodes=59277; time=0.038s; nps=1560 knps
Test 17/100 -- depth=15; nodes=146804; time=0.143s; nps=1027 knps
Test 18/100 -- depth=15; nodes=2802490; time=2.107s; nps=1330 knps
Test 19/100 -- depth=15; nodes=1148404; time=1.692s; nps=679 knps
Test 20/100 -- depth=15; nodes=2301728; time=9.064s; nps=254 knps
Test 21/100 -- depth=15; nodes=718773; time=0.633s; nps=1136 knps
Test 22/100 -- depth=15; nodes=518972; time=1.742s; nps=298 knps
Test 23/100 -- depth=15; nodes=5382913; time=6.783s; nps=794 knps
Test 24/100 -- depth=15; nodes=709564; time=0.497s; nps=1428 knps
Test 25/100 -- depth=15; nodes=1715513; time=1.544s; nps=1111 knps
Test 26/100 -- depth=15; nodes=240401; time=0.305s; nps=788 knps
Test 27/100 -- depth=15; nodes=674997; time=0.664s; nps=1017 knps
Test 28/100 -- depth=15; nodes=539991; time=0.794s; nps=680 knps
Test 29/100 -- depth=15; nodes=25115; time=0.063s; nps=399 knps
Test 30/100 -- depth=15; nodes=387219; time=0.383s; nps=1011 knps
Test 31/100 -- depth=15; nodes=257541; time=0.52s; nps=495 knps
Test 32/100 -- depth=15; nodes=318614; time=0.247s; nps=1290 knps
Test 33/100 -- depth=15; nodes=5394229; time=6.257s; nps=862 knps
Test 34/100 -- depth=15; nodes=1069627; time=0.896s; nps=1194 knps
Test 35/100 -- depth=15; nodes=2908; time=0.009s; nps=323 knps
Test 36/100 -- depth=15; nodes=1336870; time=1.405s; nps=952 knps
Test 37/100 -- depth=15; nodes=717363; time=0.345s; nps=2079 knps
Test 38/100 -- depth=15; nodes=7077139; time=9.684s; nps=731 knps
Test 39/100 -- depth=15; nodes=631186; time=0.631s; nps=1000 knps
Test 40/100 -- depth=15; nodes=2397677; time=1.806s; nps=1328 knps
Test 41/100 -- depth=15; nodes=21880; time=0.015s; nps=1459 knps
Test 42/100 -- depth=15; nodes=3318389; time=4.019s; nps=826 knps
Test 43/100 -- depth=15; nodes=1435735; time=1.651s; nps=870 knps
Test 44/100 -- depth=15; nodes=1610941; time=1.402s; nps=1149 knps
Test 45/100 -- depth=15; nodes=281459; time=0.473s; nps=595 knps
Test 46/100 -- depth=15; nodes=2690984; time=2.56s; nps=1051 knps
Test 47/100 -- depth=15; nodes=2798394; time=4.879s; nps=574 knps
Test 48/100 -- depth=15; nodes=388710; time=0.525s; nps=740 knps
Test 49/100 -- depth=15; nodes=4592246; time=3.327s; nps=1380 knps
