<UciProtocol (pid=19466)>: Unexpected engine output: 'option name Hash type spin default 1024 min 1 max 131072'
<UciProtocol (pid=19466)>: Unexpected engine output: 'option name Clear Hash type button'
<UciProtocol (pid=19466)>: Unexpected engine output: 'option name EvalFile type string default nn-62ef826d1a6d.nnue'
Test 01/100 -- depth=15; nodes=71229; time=0.15s; nps=475 knps
Test 02/100 -- depth=15; nodes=10493; time=0.016s; nps=656 knps
Test 03/100 -- depth=15; nodes=24359; time=0.02s; nps=1218 knps
Test 04/100 -- depth=15; nodes=6616; time=0.009s; nps=735 knps
Test 05/100 -- depth=15; nodes=561034; time=0.626s; nps=896 knps
Test 06/100 -- depth=15; nodes=11602; time=0.006s; nps=1934 knps
Test 07/100 -- depth=15; nodes=35361; time=0.028s; nps=1263 knps
Test 08/100 -- depth=15; nodes=62030; time=0.029s; nps=2139 knps
Test 09/100 -- depth=15; nodes=21475; time=0.015s; nps=1432 knps
Test 10/100 -- depth=15; nodes=166232; time=0.147s; nps=1131 knps
Test 11/100 -- depth=15; nodes=79010; time=0.098s; nps=806 knps
Test 12/100 -- depth=15; nodes=19718; time=0.053s; nps=372 knps
Test 13/100 -- depth=15; nodes=103995; time=0.32s; nps=325 knps
Test 14/100 -- depth=15; nodes=109152; time=0.183s; nps=596 knps
Test 15/100 -- depth=15; nodes=6744; time=0.024s; nps=281 knps
Test 16/100 -- depth=15; nodes=6113; time=0.006s; nps=1019 knps
Test 17/100 -- depth=15; nodes=4509; time=0.011s; nps=410 knps
Test 18/100 -- depth=15; nodes=13895; time=0.056s; nps=248 knps
Test 19/100 -- depth=15; nodes=128883; time=0.194s; nps=664 knps
Test 20/100 -- depth=15; nodes=132683; time=0.218s; nps=609 knps
Test 21/100 -- depth=15; nodes=92289; time=0.065s; nps=1420 knps
Test 22/100 -- depth=15; nodes=433769; time=0.491s; nps=883 knps
Test 23/100 -- depth=15; nodes=78872; time=0.232s; nps=340 knps
Test 24/100 -- depth=15; nodes=24949; time=0.054s; nps=462 knps
Test 25/100 -- depth=15; nodes=52985; time=0.069s; nps=768 knps
Test 26/100 -- depth=15; nodes=4268; time=0.022s; nps=194 knps
Test 27/100 -- depth=15; nodes=171407; time=0.227s; nps=755 knps
Test 28/100 -- depth=15; nodes=7873; time=0.182s; nps=43 knps
Test 29/100 -- depth=15; nodes=11651; time=0.036s; nps=324 knps
Test 30/100 -- depth=15; nodes=22854; time=0.047s; nps=486 knps
Test 31/100 -- depth=15; nodes=10870; time=0.023s; nps=473 knps
Test 32/100 -- depth=15; nodes=68296; time=0.099s; nps=690 knps
Test 33/100 -- depth=15; nodes=2849374; time=2.975s; nps=958 knps
Test 34/100 -- depth=15; nodes=66880; time=0.096s; nps=697 knps
Test 35/100 -- depth=15; nodes=1597; time=0.002s; nps=798 knps
Test 36/100 -- depth=15; nodes=42655; time=0.205s; nps=208 knps
Test 37/100 -- depth=15; nodes=134462; time=0.118s; nps=1140 knps
Test 38/100 -- depth=15; nodes=634438; time=1.438s; nps=441 knps
Test 39/100 -- depth=15; nodes=16981; time=0.024s; nps=708 knps
Test 40/100 -- depth=15; nodes=859931; time=0.846s; nps=1016 knps
Test 41/100 -- depth=15; nodes=9247; time=0.013s; nps=711 knps
Test 42/100 -- depth=15; nodes=472149; time=0.653s; nps=723 knps
Test 43/100 -- depth=15; nodes=222118; time=0.446s; nps=498 knps
Test 44/100 -- depth=15; nodes=10997; time=0.057s; nps=193 knps
Test 45/100 -- depth=15; nodes=41560; time=0.145s; nps=287 knps
Test 46/100 -- depth=15; nodes=597919; time=0.526s; nps=1137 knps
Test 47/100 -- depth=15; nodes=242407; time=0.358s; nps=677 knps
Test 48/100 -- depth=15; nodes=15279; time=0.038s; nps=402 knps
Test 49/100 -- depth=15; nodes=235016; time=0.587s; nps=400 knps
Test 50/100 -- depth=15; nodes=1161977; time=1.565s; nps=742 knps
Test 51/100 -- depth=15; nodes=1533227; time=1.097s; nps=1398 knps
Test 52/100 -- depth=15; nodes=90026; time=0.407s; nps=221 knps
Test 53/100 -- depth=15; nodes=286840; time=0.269s; nps=1066 knps
